"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
11.632,-0.167388916016,-0.0320434570313,-3.89213562012
11.633,-0.167388916016,-0.0396728515625,-3.89595031738
11.634,-0.167770385742,-0.0358581542969,-3.89976501465
11.635,-0.167388916016,-0.0320434570313,-3.89595031738
11.636,-0.167388916016,-0.0244140625,-3.89976501465
11.637,-0.167770385742,-0.0129699707031,-3.89976501465
11.638,-0.167770385742,0.00228881835938,-3.89976501465
11.639,-0.167770385742,0.00228881835938,-3.89595031738
11.64,-0.167770385742,0.00228881835938,-3.89595031738
11.641,-0.167388916016,0.00228881835938,-3.89595031738
11.642,-0.167770385742,0.00228881835938,-3.89976501465
11.643,-0.167388916016,-0.0091552734375,-3.89976501465
11.644,-0.167388916016,-0.00534057617188,-3.90357971191
11.645,-0.167770385742,-0.0129699707031,-3.90357971191
11.646,-0.167388916016,-0.0244140625,-3.89595031738
11.647,-0.167388916016,-0.0320434570313,-3.89595031738
11.648,-0.167770385742,-0.0358581542969,-3.89595031738
11.649,-0.167388916016,-0.0473022460938,-3.89976501465
11.65,-0.167388916016,-0.0434875488281,-3.89976501465
11.651,-0.167770385742,-0.0320434570313,-3.89976501465
11.652,-0.167770385742,-0.0205993652344,-3.89976501465
11.653,-0.167770385742,-0.0205993652344,-3.89976501465
11.654,-0.167770385742,-0.0091552734375,-3.89595031738
11.655,-0.167388916016,-0.00152587890625,-3.89595031738
11.656,-0.167770385742,-0.00534057617188,-3.89976501465
11.657,-0.167388916016,0.00228881835938,-3.89976501465
11.658,-0.167770385742,0.00991821289063,-3.89595031738
11.659,-0.167770385742,0.006103515625,-3.90357971191
11.66,-0.167388916016,-0.00534057617188,-3.89595031738
11.661,-0.167770385742,-0.0091552734375,-3.89595031738
11.662,-0.167770385742,-0.0167846679688,-3.89595031738
11.663,-0.167388916016,-0.0358581542969,-3.89976501465
11.664,-0.167388916016,-0.0358581542969,-3.90357971191
11.665,-0.167770385742,-0.0320434570313,-3.90357971191
11.666,-0.167388916016,-0.0396728515625,-3.90357971191
11.667,-0.167770385742,-0.0396728515625,-3.89976501465
11.668,-0.167388916016,-0.0320434570313,-3.89595031738
11.669,-0.167388916016,-0.0282287597656,-3.89595031738
11.67,0.00148773193359,-0.0167846679688,4.03881072998
11.671,0.110511779785,-0.0396728515625,4.00466918945
11.672,0.147476196289,-0.0129699707031,3.98559570313
11.673,0.160446166992,-0.00534057617188,3.98178100586
11.674,0.164642333984,0.00228881835938,3.98178100586
11.675,0.166168212891,0.00228881835938,3.98178100586
11.676,0.166549682617,-0.00534057617188,3.98178100586
11.677,0.166931152344,-0.0129699707031,3.98559570313
11.678,0.166931152344,-0.0091552734375,3.98559570313
11.679,0.166931152344,-0.0205993652344,3.97796630859
11.68,0.16731262207,-0.0320434570313,3.97415161133
11.681,0.166931152344,-0.0320434570313,3.97796630859
11.682,0.16731262207,-0.0396728515625,3.98559570313
11.683,0.166931152344,-0.0473022460938,3.98559570313
11.684,0.16731262207,-0.0396728515625,3.98178100586
11.685,0.166931152344,-0.0244140625,3.98178100586
