"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Current (A)","Latest: Potential 2 (V)"
9.139,,-0.167770385742,-0.595474243164
9.14,,-0.167388916016,-0.595474243164
9.141,,-0.167388916016,-0.595474243164
9.142,,-0.167770385742,-0.595474243164
9.143,,-0.167388916016,-0.595474243164
9.144,,-0.167388916016,-0.591659545898
9.145,,-0.167770385742,-0.591659545898
9.146,,-0.167770385742,-0.595474243164
9.147,,-0.167770385742,-0.595474243164
9.148,,-0.167388916016,-0.595474243164
9.149,,-0.167388916016,-0.595474243164
9.15,,-0.167388916016,-0.591659545898
9.151,,-0.167770385742,-0.595474243164
9.152,,-0.167388916016,-0.595474243164
9.153,,-0.167770385742,-0.595474243164
9.154,,-0.167770385742,-0.591659545898
9.155,,-0.167388916016,-0.591659545898
9.156,,-0.167388916016,-0.591659545898
9.157,,-0.167388916016,-0.591659545898
9.158,,-0.167770385742,-0.595474243164
9.159,,-0.167388916016,-0.591659545898
9.16,,-0.167388916016,-0.591659545898
9.161,,-0.167388916016,-0.591659545898
9.162,,-0.167388916016,-0.591659545898
9.163,,-0.167388916016,-0.595474243164
9.164,,-0.167388916016,-0.59928894043
9.165,,-0.167388916016,-0.59928894043
9.166,,-0.0366401672363,4.77066040039
9.167,,0.097541809082,2.04181671143
9.168,,0.143280029297,1.11198425293
9.169,,0.158920288086,0.795555114746
9.17,,0.164260864258,0.685119628906
9.171,,0.165786743164,0.64697265625
9.172,,0.166931152344,0.631713867188
9.173,,0.166931152344,0.627899169922
9.174,,0.166931152344,0.627899169922
9.175,,0.166931152344,0.627899169922
9.176,,0.166931152344,0.627899169922
9.177,,0.166931152344,0.627899169922
9.178,,0.16731262207,0.627899169922
9.179,,0.166931152344,0.624084472656
9.18,,0.16731262207,0.627899169922
9.181,,0.166931152344,0.627899169922
9.182,,0.16731262207,0.627899169922
9.183,,0.166931152344,0.627899169922
9.184,,0.166931152344,0.627899169922
9.185,,0.166931152344,0.624084472656
9.186,,0.166931152344,0.627899169922
9.187,,0.166931152344,0.624084472656
9.188,,0.166931152344,0.627899169922
9.189,,0.166931152344,0.624084472656
9.19,,0.166931152344,0.624084472656
9.191,,0.16731262207,0.624084472656
9.192,,0.166931152344,0.624084472656
9.193,,0.166931152344,0.627899169922
9.194,,0.166931152344,0.624084472656
9.195,,0.166931152344,0.624084472656
9.196,,0.166931152344,0.624084472656
9.197,,0.166931152344,0.624084472656
9.198,,0.166931152344,0.631713867188
9.199,,0.166931152344,0.627899169922
9.2,,0.166931152344,0.627899169922
9.201,,0.166931152344,0.627899169922
9.202,,0.166931152344,0.627899169922
9.203,,0.166931152344,0.627899169922
9.204,,0.166931152344,0.627899169922
9.205,,0.166931152344,0.624084472656
9.206,,0.166931152344,0.627899169922
9.207,,0.16731262207,0.624084472656
9.208,,0.166931152344,0.624084472656
9.209,,0.166931152344,0.624084472656
9.21,,0.166931152344,0.627899169922
9.211,,0.166931152344,0.627899169922
9.212,,0.166931152344,0.627899169922
9.213,,0.166931152344,0.627899169922
9.214,,0.166931152344,0.627899169922
9.215,,0.166931152344,0.627899169922
9.216,,0.0213050842285,-4.38766479492
9.217,,-0.102977752686,-1.90277099609
9.218,,-0.145282745361,-1.04141235352
9.219,,-0.159778594971,-0.751686096191
9.22,,-0.165100097656,-0.648880004883
9.221,,-0.166625976563,-0.614547729492
9.222,,-0.167388916016,-0.59928894043
9.223,,-0.167388916016,-0.595474243164
9.224,,-0.167770385742,-0.59928894043
9.225,,-0.167388916016,-0.595474243164
9.226,,-0.167388916016,-0.595474243164
9.227,,-0.167770385742,-0.59928894043
9.228,,-0.167388916016,-0.59928894043
9.229,,-0.167388916016,-0.595474243164
9.23,,-0.167770385742,-0.59928894043
9.231,,-0.167388916016,-0.595474243164
9.232,,-0.167770385742,-0.595474243164
9.233,,-0.167388916016,-0.595474243164
9.234,,-0.167388916016,-0.591659545898
9.235,,-0.167770385742,-0.59928894043
9.236,,-0.167388916016,-0.595474243164
9.237,,-0.167388916016,-0.59928894043
9.238,,-0.167388916016,-0.595474243164
9.239,,-0.167388916016,-0.595474243164
9.24,,-0.167770385742,-0.591659545898
9.241,,-0.167388916016,-0.595474243164
9.242,,-0.167770385742,-0.595474243164
9.243,,-0.167770385742,-0.595474243164
9.244,,-0.167388916016,-0.591659545898
9.245,,-0.167388916016,-0.587844848633
9.246,,-0.167388916016,-0.595474243164
9.247,,-0.167388916016,-0.595474243164
9.248,,-0.167770385742,-0.591659545898
9.249,,-0.167388916016,-0.595474243164
9.25,,-0.167770385742,-0.595474243164
9.251,,-0.167388916016,-0.595474243164
9.252,,-0.167388916016,-0.591659545898
9.253,,-0.167770385742,-0.591659545898
9.254,,-0.167388916016,-0.595474243164
9.255,,-0.167388916016,-0.595474243164
9.256,,-0.167770385742,-0.595474243164
9.257,,-0.167388916016,-0.595474243164
9.258,,-0.167388916016,-0.595474243164
9.259,,-0.167770385742,-0.591659545898
9.26,,-0.167388916016,-0.591659545898
9.261,,-0.167770385742,-0.587844848633
9.262,,-0.167388916016,-0.591659545898
9.263,,-0.167388916016,-0.591659545898
9.264,,-0.167770385742,-0.595474243164
9.265,,-0.167388916016,-0.591659545898
9.266,,-0.0370216369629,4.78591918945
9.267,,0.0971603393555,2.04181671143
9.268,,0.143280029297,1.10816955566
9.269,,0.158920288086,0.787925720215
9.27,,0.164260864258,0.685119628906
9.271,,0.165786743164,0.64697265625
9.272,,0.166549682617,0.635528564453
9.273,,0.166931152344,0.627899169922
9.274,,0.166931152344,0.627899169922
9.275,,0.166931152344,0.627899169922
9.276,,0.166931152344,0.627899169922
9.277,,0.166931152344,0.631713867188
9.278,,0.166931152344,0.631713867188
9.279,,0.166931152344,0.631713867188
9.28,,0.166931152344,0.627899169922
9.281,,0.166931152344,0.627899169922
9.282,,0.166931152344,0.627899169922
9.283,,0.166931152344,0.627899169922
9.284,,0.166931152344,0.627899169922
9.285,,0.166931152344,0.627899169922
9.286,,0.166931152344,0.627899169922
9.287,,0.166931152344,0.624084472656
9.288,,0.166931152344,0.627899169922
9.289,,0.166931152344,0.624084472656
9.29,,0.166931152344,0.624084472656
9.291,,0.166931152344,0.624084472656
9.292,,0.166931152344,0.624084472656
9.293,,0.166931152344,0.627899169922
9.294,,0.166931152344,0.627899169922
9.295,,0.166931152344,0.624084472656
9.296,,0.166931152344,0.624084472656
9.297,,0.166931152344,0.627899169922
9.298,,0.166931152344,0.624084472656
9.299,,0.166931152344,0.627899169922
9.3,,0.166931152344,0.631713867188
9.301,,0.166931152344,0.627899169922
9.302,,0.166931152344,0.627899169922
9.303,,0.166931152344,0.624084472656
