"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
23.415,38.2880126953,0.431022644043
23.416,39.2299072266,0.428352355957
23.417,40.1718017578,0.426445007324
23.418,41.1136962891,0.423393249512
23.419,42.0555908203,0.420341491699
23.42,43.4684326172,0.418071746826
23.421,44.4103271484,0.41540145874
23.422,45.3522216797,0.412349700928
23.423,46.2941162109,0.409679412842
23.424,47.2360107422,0.406627655029
23.425,48.6488525391,0.403957366943
23.426,50.0616943359,0.400905609131
23.427,51.4745361328,0.397472381592
23.428,52.4164306641,0.394039154053
23.429,53.3583251953,0.391368865967
23.43,54.7711669922,0.387935638428
23.431,55.2421142578,0.384120941162
23.432,56.6549560547,0.38106918335
23.433,57.1259033203,0.377254486084
23.434,58.0677978516,0.374202728271
23.435,59.0096923828,0.370006561279
23.436,59.9515869141,0.36657333374
23.437,60.8934814453,0.362758636475
23.438,61.8353759766,0.359325408936
23.439,62.7772705078,0.355129241943
23.44,63.7191650391,0.351314544678
23.441,64.1901123047,0.347118377686
23.442,65.6029541016,0.34330368042
23.443,66.5448486328,0.339107513428
23.444,67.4867431641,0.334911346436
23.445,68.4286376953,0.33109664917
23.446,69.3705322266,0.326900482178
23.447,69.8414794922,0.322704315186
23.448,70.7833740234,0.318126678467
23.449,72.1962158203,0.313549041748
23.45,72.6671630859,0.309352874756
23.451,73.1381103516,0.304775238037
23.452,73.6090576172,0.300197601318
23.453,74.5274047852,0.2956199646
23.454,75.4692993164,0.291042327881
23.455,76.4111938477,0.286464691162
23.456,77.3530883789,0.281887054443
23.457,77.8240356445,0.276927947998
23.458,78.2949829102,0.271968841553
23.459,79.707824707,0.267391204834
23.46,80.6497192383,0.262432098389
23.461,81.1206665039,0.257472991943
23.462,81.5916137695,0.252895355225
23.463,82.5335083008,0.247554779053
23.464,83.0044555664,0.242595672607
23.465,83.9463500977,0.237636566162
23.466,84.8882446289,0.23229598999
23.467,84.8882446289,0.227336883545
23.468,85.3591918945,0.221633911133
23.469,85.8301391602,0.216293334961
23.47,86.7720336914,0.211334228516
23.471,87.242980957,0.205993652344
23.472,87.7139282227,0.200653076172
23.473,88.1848754883,0.1953125
23.474,88.1848754883,0.189971923828
23.475,89.1267700195,0.184631347656
23.476,90.0686645508,0.179290771484
23.477,90.5396118164,0.173568725586
23.478,90.5396118164,0.167846679688
23.479,91.010559082,0.162506103516
23.48,91.4815063477,0.157165527344
23.481,92.4234008789,0.151062011719
23.482,92.8943481445,0.145721435547
23.483,93.3652954102,0.139999389648
23.484,93.3652954102,0.134658813477
23.485,93.3652954102,0.128936767578
23.486,93.8362426758,0.122833251953
23.487,94.3071899414,0.117492675781
23.488,94.3071899414,0.111770629883
23.489,94.778137207,0.106048583984
23.49,94.778137207,0.0999450683594
23.491,94.778137207,0.0946044921875
23.492,95.7200317383,0.0885009765625
23.493,96.1909790039,0.0827789306641
23.494,96.1909790039,0.0770568847656
23.495,96.1909790039,0.0709533691406
23.496,96.6619262695,0.0656127929688
23.497,96.6619262695,0.0595092773438
23.498,96.6619262695,0.0534057617188
23.499,97.1328735352,0.0473022460938
23.5,97.1328735352,0.0415802001953
23.501,97.1328735352,0.0358581542969
23.502,97.1328735352,0.0301361083984
23.503,97.1328735352,0.0240516662598
23.504,97.1328735352,0.0183296203613
23.505,97.6038208008,0.0122261047363
23.506,97.6038208008,0.00650405883789
23.507,97.1328735352,0.000400543212891
23.508,97.1328735352,-0.00532150268555
23.509,97.6038208008,-0.0118064880371
23.51,98.0747680664,-0.017147064209
23.511,97.6038208008,-0.023250579834
23.512,97.6038208008,-0.029354095459
23.513,97.6038208008,-0.0350761413574
23.514,97.6038208008,-0.0411796569824
23.515,97.1328735352,-0.0465202331543
23.516,97.6038208008,-0.0530052185059
23.517,97.1328735352,-0.0583457946777
23.518,96.6619262695,-0.0644493103027
23.519,96.6619262695,-0.0701713562012
23.52,96.1909790039,-0.0762748718262
23.521,96.1909790039,-0.081615447998
23.522,95.7200317383,-0.0873374938965
23.523,95.7200317383,-0.093822479248
